File,Year,IWC,Resolution or Document  No,Subject,Country,Vote,Notes,Matrix Decision ID
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Mexico,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Monaco,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Netherlands,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",New Zealand,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Norway,2,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Oman,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Peru,2,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Philippines,3,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",St. Lucia,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",St. Vincent & G.,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Senegal,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Seychelles,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",South Africa,3,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Spain,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Sweden,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Switzerland,3,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",USSR,2,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",UK,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",USA,1,,1
RS10110_1982 Voting Record IWC34.pdf,1982,34,,"Amendment to Schedule, paragraph 10(e)",Uruguay,1,,1
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Antigua & Barbuda,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Argentina,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Australia,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Brazil,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Chile,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),"China, People's Rep.",3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Costa Rica,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Denmark,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Ecuador,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Finland,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),France,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Germany,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Iceland,1,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),India,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Ireland,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Japan,1,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Kenya,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),"Korea, Republic of",3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Mexico,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Monaco,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Netherlands,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),New Zealand,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Norway,1,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Oman,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Peru,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),St. Lucia,1,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),St. Vincent & G.,1,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Senegal,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Seychelles,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),South Africa,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Spain,3,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Sweden,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Switzerland,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),USSR,1,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),UK,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),USA,2,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/25,Emergency quota request for small-type coastal Whaling (Japan),Uruguay,0,,2
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Antigua & Barbuda,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Argentina,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Australia,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Brazil,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Chile,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,"China, People's Rep.",3,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Costa Rica,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Denmark,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Ecuador,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Finland,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,France,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Germany,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Iceland,2,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,India,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Ireland,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Japan,2,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Kenya,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,"Korea, Republic of",3,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Mexico,3,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Monaco,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Netherlands,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,New Zealand,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Norway,2,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Oman,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Peru,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,St. Lucia,3,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,St. Vincent & G.,3,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Senegal,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Seychelles,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,South Africa,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Spain,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Sweden,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Switzerland,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,USSR,2,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,UK,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,USA,1,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/36,Resolution on USSR proposal for Special Permit catches in the North Pacific,Uruguay,0,,3
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Antigua & Barbuda,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Argentina,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Australia,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Brazil,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Chile,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,"China, People's Rep.",3,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Costa Rica,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Denmark,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Ecuador,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Finland,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,France,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Germany,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Iceland,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,India,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Ireland,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Japan,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Kenya,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,"Korea, Republic of",3,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Mexico,3,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Monaco,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Netherlands,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,New Zealand,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Norway,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Oman,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Peru,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,St. Lucia,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,St. Vincent & G.,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Senegal,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Seychelles,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,South Africa,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Spain,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Sweden,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Switzerland,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,USSR,1,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,UK,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,USA,2,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/33,Adoption of the recommendation of the SC on a RMP,Uruguay,0,,4
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Antigua & Barbuda,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Argentina,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Australia,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Brazil,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Chile,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,"China, People's Rep.",3,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Costa Rica,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Denmark,3,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Ecuador,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Finland,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,France,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Germany,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Iceland,2,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,India,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Ireland,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Japan,2,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Kenya,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,"Korea, Republic of",3,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Mexico,3,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Monaco,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Netherlands,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,New Zealand,3,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Norway,2,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Oman,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Peru,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,St. Lucia,2,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,St. Vincent & G.,2,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Senegal,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Seychelles,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,South Africa,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Spain,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Sweden,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Switzerland,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,USSR,2,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,UK,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,USA,1,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/41,Resolution on the RMP,Uruguay,0,,5
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Antigua & Barbuda,0,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Argentina,0,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Australia,1,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Brazil,1,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Chile,3,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.","China, People's Rep.",3,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Costa Rica,0,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Denmark,2,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Ecuador,0,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Finland,1,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",France,1,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Germany,3,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Iceland,2,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",India,1,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Ireland,1,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Japan,2,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Kenya,0,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.","Korea, Republic of",3,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Mexico,3,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Monaco,7,,6
RS10113_1991 Voting Record IWC43.pdf,1991,43,IWC/43/31,"Challenge to the Chair's ruling on IWC/43/31, the Icelandic proposal for minke whale catch limits.",Netherlands,1,,6
